player2,player2_score,player2,player2_score
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,o,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
davidovich,15,berrettini,15
